registration_id,event_name,event_type,event_format,registration_date,event_date,channel_source,job_title,industry,company_size,attendance_status,sessions_registered,sessions_attended,engagement_score,survey_completed,acquisition_cost
453,Tech Summit 2024,Flagship,In-Person,2024-01-24,2024-03-15,Google Search,CTO,Manufacturing,1001-5000,No-Show,3,0,1,No,13.27
454,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Google Search,Data Engineer,Manufacturing,5000+,No-Show,2,0,1,No,17.25
455,Tech Summit 2024,Flagship,In-Person,2024-01-27,2024-03-15,Email Campaign,Software Developer,Education,5000+,Attended,4,4,5,No,3.0
456,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,LinkedIn Ad,Data Engineer,Finance,1-50,Attended,3,1,4,No,44.76
457,Tech Summit 2024,Flagship,In-Person,2024-01-27,2024-03-15,Email Campaign,Solutions Architect,Finance,1001-5000,Attended,4,1,6,No,2.5
458,Tech Summit 2024,Flagship,In-Person,2024-03-13,2024-03-15,Email Campaign,Data Engineer,Finance,1-50,Attended,6,2,10,No,4.86
459,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,Email Campaign,Program Manager,Education,201-1000,No-Show,3,0,1,No,6.59
460,Tech Summit 2024,Flagship,In-Person,2024-01-21,2024-03-15,Referral,Data Engineer,Manufacturing,51-200,Attended,3,2,7,Yes,1.95
461,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,Email Campaign,Software Developer,Media,1-50,Attended,5,5,6,Yes,6.6
462,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Direct/Website,IT Director,Manufacturing,1-50,Attended,2,1,1,Yes,1.35
463,Tech Summit 2024,Flagship,In-Person,2024-03-02,2024-03-15,Referral,CTO,Manufacturing,1001-5000,Attended,7,6,3,No,1.93
464,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,LinkedIn Ad,Software Developer,Education,1-50,Attended,3,2,10,Yes,29.18
465,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,Email Campaign,CTO,Education,201-1000,Attended,9,2,6,No,4.07
466,Tech Summit 2024,Flagship,In-Person,2024-01-19,2024-03-15,Social Media,Solutions Architect,Retail,1-50,Attended,1,1,5,Yes,14.06
467,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Email Campaign,Program Manager,Healthcare,1001-5000,No-Show,4,0,2,No,4.3
468,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Referral,CTO,Healthcare,5000+,Attended,1,1,5,No,0.62
469,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,Google Search,VP Marketing,Media,201-1000,Attended,2,2,9,No,32.77
470,Tech Summit 2024,Flagship,In-Person,2024-03-12,2024-03-15,LinkedIn Ad,Software Developer,Media,5000+,Attended,4,3,5,No,32.22
471,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,LinkedIn Ad,Marketing Manager,Media,1-50,Attended,6,2,6,Yes,42.7
472,Tech Summit 2024,Flagship,In-Person,2024-03-02,2024-03-15,Referral,Product Manager,Retail,5000+,Attended,6,4,6,No,2.07
473,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Social Media,Solutions Architect,Technology,1-50,Cancelled,7,0,0,No,14.97
474,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,LinkedIn Ad,Data Engineer,Healthcare,201-1000,No-Show,7,0,1,No,15.15
475,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,Email Campaign,Solutions Architect,Retail,1-50,Attended,7,6,4,Yes,5.93
476,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Google Search,Program Manager,Healthcare,201-1000,Attended,7,3,6,No,21.46
477,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,Social Media,CTO,Technology,1-50,Attended,6,2,6,Yes,23.68
478,Tech Summit 2024,Flagship,In-Person,2024-03-06,2024-03-15,Email Campaign,VP Marketing,Media,51-200,Attended,1,1,3,Yes,6.88
479,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,Social Media,CTO,Technology,1001-5000,Attended,5,3,9,No,18.4
480,Tech Summit 2024,Flagship,In-Person,2024-01-27,2024-03-15,Email Campaign,Marketing Manager,Healthcare,1-50,No-Show,4,0,1,No,3.81
481,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,LinkedIn Ad,Solutions Architect,Manufacturing,201-1000,Attended,1,1,8,No,39.58
482,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,LinkedIn Ad,Product Manager,Education,1-50,Attended,9,1,7,No,33.85
483,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,Email Campaign,Business Analyst,Finance,51-200,No-Show,8,0,1,No,2.29
484,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Social Media,VP Marketing,Technology,1-50,Attended,1,1,6,No,16.57
485,Tech Summit 2024,Flagship,In-Person,2024-02-19,2024-03-15,LinkedIn Ad,Software Developer,Finance,201-1000,Attended,1,1,6,Yes,18.87
486,Tech Summit 2024,Flagship,In-Person,2024-01-24,2024-03-15,Direct/Website,Marketing Manager,Technology,1-50,Cancelled,10,0,0,No,0.13
487,Tech Summit 2024,Flagship,In-Person,2024-02-26,2024-03-15,Email Campaign,IT Director,Education,5000+,Attended,3,3,4,No,5.97
488,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,LinkedIn Ad,IT Director,Healthcare,5000+,No-Show,7,0,2,No,27.74
489,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,Google Search,Software Developer,Healthcare,5000+,Attended,1,1,6,No,14.93
490,Tech Summit 2024,Flagship,In-Person,2024-02-03,2024-03-15,Email Campaign,Solutions Architect,Manufacturing,51-200,Attended,2,2,4,No,2.73
491,Tech Summit 2024,Flagship,In-Person,2024-03-12,2024-03-15,Social Media,Program Manager,Education,201-1000,No-Show,3,0,1,No,21.77
492,Tech Summit 2024,Flagship,In-Person,2024-02-26,2024-03-15,Social Media,Business Analyst,Technology,1-50,No-Show,1,0,1,No,19.38
493,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Email Campaign,Software Developer,Finance,1001-5000,Attended,3,1,5,No,7.18
494,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,LinkedIn Ad,CTO,Technology,1001-5000,Attended,3,2,8,Yes,20.8
495,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,Email Campaign,Product Manager,Finance,1-50,No-Show,3,0,2,No,7.73
496,Tech Summit 2024,Flagship,In-Person,2024-02-05,2024-03-15,LinkedIn Ad,Data Analyst,Education,5000+,Attended,7,4,7,Yes,31.72
497,Tech Summit 2024,Flagship,In-Person,2024-02-27,2024-03-15,Email Campaign,Business Analyst,Education,5000+,Attended,5,4,8,No,2.08
498,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,Direct/Website,Program Manager,Education,1001-5000,No-Show,7,0,1,No,0.16
499,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,LinkedIn Ad,VP Marketing,Media,51-200,Attended,2,2,4,No,41.51
500,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,Google Search,Marketing Manager,Media,5000+,Attended,1,1,6,No,18.87
501,Tech Summit 2024,Flagship,In-Person,2024-01-27,2024-03-15,Email Campaign,Solutions Architect,Technology,1001-5000,Attended,7,4,5,No,6.98
502,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Email Campaign,Data Engineer,Manufacturing,201-1000,No-Show,2,0,2,No,4.79
503,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,Google Search,Data Analyst,Finance,1001-5000,No-Show,3,0,1,No,30.52
504,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Google Search,Program Manager,Manufacturing,1-50,No-Show,5,0,2,No,19.57
505,Tech Summit 2024,Flagship,In-Person,2024-01-15,2024-03-15,Social Media,Marketing Manager,Education,1-50,No-Show,3,0,2,No,13.18
506,Tech Summit 2024,Flagship,In-Person,2024-01-17,2024-03-15,Referral,Digital Marketing Specialist,Technology,5000+,Attended,6,1,5,Yes,2.23
507,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Social Media,VP Marketing,Finance,201-1000,Attended,1,1,4,No,17.81
508,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,Social Media,CTO,Retail,51-200,Attended,7,3,6,Yes,16.75
509,Tech Summit 2024,Flagship,In-Person,2024-01-24,2024-03-15,Direct/Website,Product Manager,Education,1-50,Attended,8,3,5,No,0.31
510,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,Email Campaign,Product Manager,Education,1-50,Attended,2,2,9,Yes,3.93
511,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,Email Campaign,CTO,Media,201-1000,Attended,8,3,5,Yes,6.61
512,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Social Media,Software Developer,Healthcare,1001-5000,No-Show,5,0,1,No,14.04
513,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,LinkedIn Ad,IT Director,Finance,1001-5000,Cancelled,7,0,0,No,28.42
514,Tech Summit 2024,Flagship,In-Person,2024-02-03,2024-03-15,Referral,Solutions Architect,Education,5000+,Attended,6,3,9,No,1.02
515,Tech Summit 2024,Flagship,In-Person,2024-02-24,2024-03-15,LinkedIn Ad,Software Developer,Technology,1001-5000,No-Show,5,0,1,No,26.32
516,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,Direct/Website,Business Analyst,Healthcare,1001-5000,No-Show,5,0,1,No,1.12
517,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,Social Media,IT Director,Education,201-1000,No-Show,3,0,1,No,13.68
518,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,LinkedIn Ad,Data Analyst,Healthcare,201-1000,Cancelled,4,0,0,No,43.34
519,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,Email Campaign,CTO,Finance,5000+,Attended,1,1,5,Yes,7.62
520,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Email Campaign,Business Analyst,Education,201-1000,Attended,2,2,5,Yes,5.69
521,Tech Summit 2024,Flagship,In-Person,2024-02-11,2024-03-15,Google Search,Software Developer,Finance,1001-5000,No-Show,10,0,1,No,33.24
522,Tech Summit 2024,Flagship,In-Person,2024-01-21,2024-03-15,Email Campaign,Solutions Architect,Finance,5000+,Attended,6,6,6,Yes,3.42
523,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Email Campaign,Data Engineer,Education,1001-5000,Attended,8,3,8,No,4.53
524,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,LinkedIn Ad,Data Analyst,Retail,201-1000,No-Show,4,0,3,No,26.61
525,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,Email Campaign,Product Manager,Retail,201-1000,Attended,5,1,10,No,6.81
526,Tech Summit 2024,Flagship,In-Person,2024-01-23,2024-03-15,Google Search,CTO,Education,51-200,No-Show,1,0,1,No,20.32
527,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Email Campaign,Software Developer,Education,5000+,Attended,6,4,9,Yes,3.88
528,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,Referral,IT Director,Media,51-200,Attended,6,2,4,Yes,1.04
529,Tech Summit 2024,Flagship,In-Person,2024-01-18,2024-03-15,Google Search,Program Manager,Education,5000+,No-Show,4,0,1,No,29.08
530,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,Direct/Website,Data Engineer,Education,5000+,Attended,6,3,4,Yes,1.51
531,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,LinkedIn Ad,Business Analyst,Technology,51-200,No-Show,6,0,1,No,33.26
532,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Email Campaign,IT Director,Retail,51-200,Attended,2,2,2,No,3.54
533,Tech Summit 2024,Flagship,In-Person,2024-01-20,2024-03-15,Social Media,Program Manager,Finance,201-1000,Attended,3,2,8,Yes,16.92
534,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,Email Campaign,Data Analyst,Manufacturing,5000+,No-Show,2,0,2,No,5.2
535,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,Direct/Website,CTO,Manufacturing,1001-5000,Attended,9,3,5,Yes,0.8
536,Tech Summit 2024,Flagship,In-Person,2024-03-10,2024-03-15,Social Media,Data Engineer,Finance,1001-5000,Attended,5,5,7,Yes,13.63
537,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,Google Search,Solutions Architect,Finance,1001-5000,No-Show,1,0,1,No,32.32
538,Tech Summit 2024,Flagship,In-Person,2024-03-01,2024-03-15,Email Campaign,IT Director,Technology,51-200,Attended,10,8,5,No,6.9
539,Tech Summit 2024,Flagship,In-Person,2024-02-17,2024-03-15,Email Campaign,CTO,Finance,5000+,No-Show,10,0,1,No,5.98
540,Tech Summit 2024,Flagship,In-Person,2024-02-04,2024-03-15,Direct/Website,CTO,Education,201-1000,Attended,10,9,5,No,1.36
541,Tech Summit 2024,Flagship,In-Person,2024-02-01,2024-03-15,Email Campaign,Software Developer,Healthcare,201-1000,Attended,6,6,7,No,2.13
542,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,Email Campaign,Digital Marketing Specialist,Technology,1001-5000,No-Show,5,0,1,No,6.33
543,Tech Summit 2024,Flagship,In-Person,2024-02-17,2024-03-15,Google Search,IT Director,Education,5000+,Attended,1,1,1,Yes,11.01
544,Tech Summit 2024,Flagship,In-Person,2024-03-02,2024-03-15,LinkedIn Ad,Digital Marketing Specialist,Healthcare,1-50,Attended,6,1,5,Yes,37.73
545,Tech Summit 2024,Flagship,In-Person,2024-03-01,2024-03-15,Referral,Data Analyst,Retail,51-200,Attended,1,1,7,Yes,1.67
546,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,Google Search,Software Developer,Media,5000+,No-Show,6,0,1,No,24.54
547,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,Google Search,IT Director,Education,5000+,Attended,5,4,5,Yes,26.51
548,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,Google Search,Data Engineer,Retail,1001-5000,No-Show,6,0,2,No,25.34
549,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,Email Campaign,Data Analyst,Technology,5000+,Attended,4,2,5,No,4.97
550,Tech Summit 2024,Flagship,In-Person,2024-01-29,2024-03-15,Email Campaign,Product Manager,Finance,1001-5000,Cancelled,7,0,0,No,6.86
551,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,Direct/Website,Program Manager,Manufacturing,201-1000,Attended,4,2,9,Yes,1.42
552,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,LinkedIn Ad,Data Engineer,Retail,201-1000,No-Show,2,0,2,No,40.81
553,Tech Summit 2024,Flagship,In-Person,2024-02-18,2024-03-15,Email Campaign,Marketing Manager,Education,1001-5000,Attended,5,5,6,No,7.19
554,Tech Summit 2024,Flagship,In-Person,2024-03-03,2024-03-15,Referral,Program Manager,Education,201-1000,Attended,3,1,6,Yes,1.4
555,Tech Summit 2024,Flagship,In-Person,2024-03-04,2024-03-15,Social Media,Program Manager,Manufacturing,1-50,Attended,3,3,6,No,18.64
556,Tech Summit 2024,Flagship,In-Person,2024-02-29,2024-03-15,Direct/Website,VP Marketing,Healthcare,51-200,Attended,4,3,8,Yes,0.34
557,Tech Summit 2024,Flagship,In-Person,2024-02-19,2024-03-15,LinkedIn Ad,Solutions Architect,Healthcare,5000+,No-Show,6,0,1,No,17.69
558,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Social Media,Software Developer,Healthcare,1001-5000,No-Show,7,0,1,No,8.03
559,Tech Summit 2024,Flagship,In-Person,2024-02-20,2024-03-15,LinkedIn Ad,Software Developer,Healthcare,201-1000,No-Show,8,0,2,No,32.15
560,Tech Summit 2024,Flagship,In-Person,2024-02-11,2024-03-15,Referral,Digital Marketing Specialist,Retail,201-1000,Cancelled,5,0,0,No,0.07
561,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,Email Campaign,Business Analyst,Education,1-50,Attended,6,1,7,No,7.15
562,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,Referral,Data Analyst,Retail,51-200,Attended,5,5,5,No,0.05
563,Tech Summit 2024,Flagship,In-Person,2024-02-23,2024-03-15,Email Campaign,Digital Marketing Specialist,Retail,5000+,Attended,6,1,7,No,2.93
564,Tech Summit 2024,Flagship,In-Person,2024-02-06,2024-03-15,Email Campaign,Program Manager,Healthcare,51-200,Attended,4,1,6,No,3.11
565,Tech Summit 2024,Flagship,In-Person,2024-01-15,2024-03-15,Direct/Website,Program Manager,Education,1-50,Cancelled,6,0,0,No,0.9
566,Tech Summit 2024,Flagship,In-Person,2024-02-08,2024-03-15,LinkedIn Ad,Product Manager,Technology,5000+,Attended,4,2,4,No,18.23
567,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,LinkedIn Ad,Business Analyst,Retail,5000+,No-Show,4,0,2,No,40.78
568,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,Email Campaign,CTO,Education,1001-5000,No-Show,5,0,1,No,3.0
569,Tech Summit 2024,Flagship,In-Person,2024-01-21,2024-03-15,Social Media,IT Director,Finance,5000+,No-Show,7,0,1,No,10.97
570,Tech Summit 2024,Flagship,In-Person,2024-01-21,2024-03-15,Email Campaign,CTO,Education,201-1000,Attended,4,2,4,Yes,3.88
571,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,Social Media,CTO,Manufacturing,201-1000,No-Show,5,0,1,No,22.0
572,Tech Summit 2024,Flagship,In-Person,2024-01-17,2024-03-15,Email Campaign,Product Manager,Education,1-50,Attended,5,5,5,No,2.64
573,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,Social Media,IT Director,Healthcare,201-1000,Attended,4,2,5,Yes,17.22
574,Tech Summit 2024,Flagship,In-Person,2024-02-16,2024-03-15,Referral,Product Manager,Healthcare,1001-5000,Attended,5,5,8,No,1.22
575,Tech Summit 2024,Flagship,In-Person,2024-01-30,2024-03-15,LinkedIn Ad,Data Engineer,Healthcare,5000+,Attended,5,4,3,Yes,28.01
576,Tech Summit 2024,Flagship,In-Person,2024-02-20,2024-03-15,Email Campaign,Product Manager,Media,1001-5000,Attended,2,1,6,No,3.29
577,Tech Summit 2024,Flagship,In-Person,2024-01-31,2024-03-15,Referral,Solutions Architect,Technology,51-200,Attended,2,2,10,Yes,0.88
578,Tech Summit 2024,Flagship,In-Person,2024-01-30,2024-03-15,Referral,Solutions Architect,Manufacturing,201-1000,No-Show,4,0,1,No,2.72
579,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Direct/Website,Digital Marketing Specialist,Education,201-1000,Attended,3,2,8,No,1.33
580,Tech Summit 2024,Flagship,In-Person,2024-03-06,2024-03-15,Direct/Website,Program Manager,Technology,1001-5000,Attended,2,1,8,Yes,0.56
581,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,Direct/Website,Product Manager,Manufacturing,1001-5000,Attended,4,1,7,No,1.48
582,Tech Summit 2024,Flagship,In-Person,2024-01-22,2024-03-15,Email Campaign,Solutions Architect,Education,51-200,Attended,5,5,5,Yes,5.23
583,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Email Campaign,Data Engineer,Education,1-50,No-Show,6,0,1,No,5.95
584,Tech Summit 2024,Flagship,In-Person,2024-01-16,2024-03-15,LinkedIn Ad,Marketing Manager,Manufacturing,1001-5000,No-Show,4,0,2,No,18.8
585,Tech Summit 2024,Flagship,In-Person,2024-03-09,2024-03-15,LinkedIn Ad,Solutions Architect,Manufacturing,51-200,Attended,7,7,5,No,32.59
586,Tech Summit 2024,Flagship,In-Person,2024-02-11,2024-03-15,LinkedIn Ad,Product Manager,Technology,1-50,Attended,5,3,8,Yes,30.35
587,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Google Search,Solutions Architect,Education,1-50,Cancelled,4,0,0,No,26.43
588,Tech Summit 2024,Flagship,In-Person,2024-01-30,2024-03-15,Direct/Website,IT Director,Retail,5000+,Attended,3,3,10,No,0.03
589,Tech Summit 2024,Flagship,In-Person,2024-02-25,2024-03-15,Direct/Website,Data Analyst,Education,51-200,No-Show,2,0,2,No,0.19
590,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,Referral,CTO,Manufacturing,1-50,Attended,6,6,4,Yes,0.42
591,Tech Summit 2024,Flagship,In-Person,2024-01-19,2024-03-15,Email Campaign,Business Analyst,Manufacturing,51-200,Attended,4,4,8,Yes,5.19
592,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,Email Campaign,CTO,Media,1001-5000,Attended,1,1,5,No,7.04
593,Tech Summit 2024,Flagship,In-Person,2024-03-01,2024-03-15,Email Campaign,IT Director,Manufacturing,5000+,Attended,6,2,7,No,2.53
594,Tech Summit 2024,Flagship,In-Person,2024-02-21,2024-03-15,Social Media,Marketing Manager,Finance,1001-5000,No-Show,4,0,1,No,8.45
595,Tech Summit 2024,Flagship,In-Person,2024-01-15,2024-03-15,Email Campaign,Data Analyst,Manufacturing,5000+,Cancelled,1,0,0,No,5.97
596,Tech Summit 2024,Flagship,In-Person,2024-02-02,2024-03-15,LinkedIn Ad,Program Manager,Retail,201-1000,No-Show,7,0,1,No,22.87
597,Tech Summit 2024,Flagship,In-Person,2024-01-24,2024-03-15,Referral,Program Manager,Education,1-50,Attended,3,1,10,Yes,0.12
598,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,LinkedIn Ad,Digital Marketing Specialist,Manufacturing,201-1000,Attended,4,1,8,No,23.6
599,Tech Summit 2024,Flagship,In-Person,2024-02-13,2024-03-15,Google Search,Software Developer,Finance,51-200,Attended,3,3,6,Yes,30.2
600,Tech Summit 2024,Flagship,In-Person,2024-03-05,2024-03-15,LinkedIn Ad,CTO,Healthcare,51-200,Attended,6,1,4,No,44.54
601,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,LinkedIn Ad,Business Analyst,Media,5000+,No-Show,3,0,1,No,43.52
602,Tech Summit 2024,Flagship,In-Person,2024-02-15,2024-03-15,Social Media,Digital Marketing Specialist,Manufacturing,201-1000,No-Show,2,0,1,No,12.53
603,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,LinkedIn Ad,Product Manager,Retail,201-1000,No-Show,1,0,1,No,24.92
604,Tech Summit 2024,Flagship,In-Person,2024-02-25,2024-03-15,Google Search,Business Analyst,Finance,51-200,Attended,5,1,4,No,22.99
605,Tech Summit 2024,Flagship,In-Person,2024-01-29,2024-03-15,Referral,Marketing Manager,Education,1-50,Attended,7,2,10,No,2.59
606,Tech Summit 2024,Flagship,In-Person,2024-02-11,2024-03-15,Social Media,Data Analyst,Healthcare,51-200,Attended,3,2,9,No,12.57
607,Tech Summit 2024,Flagship,In-Person,2024-01-26,2024-03-15,LinkedIn Ad,Data Engineer,Retail,51-200,Attended,2,2,5,Yes,27.6
608,Tech Summit 2024,Flagship,In-Person,2024-02-10,2024-03-15,Email Campaign,Data Engineer,Technology,201-1000,Attended,5,1,6,No,4.41
609,Tech Summit 2024,Flagship,In-Person,2024-03-13,2024-03-15,Email Campaign,CTO,Manufacturing,51-200,Attended,5,4,7,No,5.28
610,Tech Summit 2024,Flagship,In-Person,2024-02-09,2024-03-15,Direct/Website,Digital Marketing Specialist,Retail,1001-5000,Attended,5,1,9,No,1.87
611,Tech Summit 2024,Flagship,In-Person,2024-01-28,2024-03-15,Email Campaign,Data Analyst,Education,201-1000,Attended,4,2,6,Yes,2.97
612,Tech Summit 2024,Flagship,In-Person,2024-03-03,2024-03-15,Google Search,Program Manager,Healthcare,1001-5000,Attended,6,6,8,Yes,23.3
613,Tech Summit 2024,Flagship,In-Person,2024-02-18,2024-03-15,Email Campaign,Solutions Architect,Retail,5000+,Attended,7,3,4,Yes,2.6
614,Tech Summit 2024,Flagship,In-Person,2024-02-12,2024-03-15,Email Campaign,Digital Marketing Specialist,Technology,1001-5000,Attended,9,8,9,Yes,6.3
615,Tech Summit 2024,Flagship,In-Person,2024-02-28,2024-03-15,LinkedIn Ad,Software Developer,Retail,1-50,Attended,3,3,7,Yes,35.32
616,Tech Summit 2024,Flagship,In-Person,2024-03-08,2024-03-15,Email Campaign,Marketing Manager,Education,5000+,No-Show,9,0,1,No,7.61
617,Tech Summit 2024,Flagship,In-Person,2024-02-25,2024-03-15,Google Search,Data Engineer,Finance,1001-5000,Attended,9,5,6,No,22.38
618,Tech Summit 2024,Flagship,In-Person,2024-03-07,2024-03-15,Social Media,Marketing Manager,Healthcare,51-200,Attended,1,1,7,Yes,19.03
619,Tech Summit 2024,Flagship,In-Person,2024-03-11,2024-03-15,Referral,Solutions Architect,Manufacturing,201-1000,Attended,3,3,4,No,1.77
620,Tech Summit 2024,Flagship,In-Person,2024-02-14,2024-03-15,Direct/Website,Digital Marketing Specialist,Finance,1-50,No-Show,2,0,1,No,0.65
621,Developer Conference 2024,Flagship,In-Person,2024-04-17,2024-06-10,Email Campaign,Marketing Manager,Manufacturing,5000+,No-Show,6,0,1,No,5.12
622,Developer Conference 2024,Flagship,In-Person,2024-05-08,2024-06-10,Social Media,Digital Marketing Specialist,Technology,1-50,Attended,5,4,8,Yes,13.07
623,Developer Conference 2024,Flagship,In-Person,2024-06-02,2024-06-10,Google Search,Digital Marketing Specialist,Manufacturing,1-50,No-Show,5,0,3,No,15.89
624,Developer Conference 2024,Flagship,In-Person,2024-05-17,2024-06-10,Email Campaign,CTO,Manufacturing,1-50,Attended,3,3,2,Yes,3.0
625,Developer Conference 2024,Flagship,In-Person,2024-04-21,2024-06-10,Email Campaign,Digital Marketing Specialist,Education,1001-5000,Attended,3,2,6,No,7.55
626,Developer Conference 2024,Flagship,In-Person,2024-05-20,2024-06-10,Google Search,Solutions Architect,Manufacturing,51-200,No-Show,11,0,1,No,17.44
627,Developer Conference 2024,Flagship,In-Person,2024-04-22,2024-06-10,Direct/Website,Product Manager,Healthcare,1-50,Attended,9,2,4,Yes,1.72
628,Developer Conference 2024,Flagship,In-Person,2024-04-20,2024-06-10,Referral,Business Analyst,Manufacturing,5000+,Cancelled,4,0,0,No,1.54
629,Developer Conference 2024,Flagship,In-Person,2024-05-07,2024-06-10,Direct/Website,Solutions Architect,Media,1-50,Attended,7,3,4,Yes,0.32
630,Developer Conference 2024,Flagship,In-Person,2024-04-18,2024-06-10,Email Campaign,Digital Marketing Specialist,Finance,1001-5000,Attended,4,4,4,No,5.43
631,Developer Conference 2024,Flagship,In-Person,2024-04-24,2024-06-10,Google Search,Digital Marketing Specialist,Retail,51-200,Attended,1,1,7,Yes,23.31
632,Developer Conference 2024,Flagship,In-Person,2024-05-06,2024-06-10,Google Search,IT Director,Healthcare,1-50,Attended,5,4,4,No,18.94
633,Developer Conference 2024,Flagship,In-Person,2024-05-31,2024-06-10,LinkedIn Ad,Business Analyst,Media,51-200,No-Show,5,0,1,No,25.38
634,Developer Conference 2024,Flagship,In-Person,2024-04-30,2024-06-10,LinkedIn Ad,Program Manager,Education,201-1000,Attended,2,2,9,No,30.14
635,Developer Conference 2024,Flagship,In-Person,2024-05-07,2024-06-10,LinkedIn Ad,Data Analyst,Manufacturing,51-200,Attended,3,3,9,Yes,16.85
